TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL1R,04000US18,Indiana,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US18,Indiana,5,Number,"1,586,530","+/-4,912","85,260","+/-1,213","1,285,430","+/-4,353","156,080","+/-1,746","2,715",+/-392,"31,450",+/-967,545,+/-128,"25,050","+/-1,259",0,"Total, all occupations"
EEOALL1R,04000US18,Indiana,6,Percent,47.4,+/-0.1,2.5,+/-0.1,38.4,+/-0.1,4.7,+/-0.1,0.1,+/-0.1,0.9,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,1,Number,"1,674,695","+/-4,401","87,200",+/-926,"1,469,645","+/-4,092","51,555",+/-985,"4,610",+/-329,"39,660",+/-916,"1,525",+/-197,"20,500","+/-1,027",0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,2,Percent,100,+/-0.1,5.2,+/-0.1,87.8,+/-0.1,3.1,+/-0.1,0.3,+/-0.1,2.4,+/-0.1,0.1,+/-0.1,1.2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,3,Number,"879,730","+/-2,899","50,500",+/-732,"766,350","+/-2,700","28,555",+/-731,"2,335",+/-246,"21,455",+/-624,890,+/-164,"9,635",+/-676,0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,4,Percent,52.5,+/-0.1,3,+/-0.1,45.8,+/-0.1,1.7,+/-0.1,0.1,+/-0.1,1.3,+/-0.1,0.1,+/-0.1,0.6,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,5,Number,"794,965","+/-2,852","36,700",+/-752,"703,290","+/-2,473","23,000",+/-703,"2,275",+/-209,"18,205",+/-622,635,+/-137,"10,865",+/-711,0,"Total, all occupations"
EEOALL1R,04000US19,Iowa,6,Percent,47.5,+/-0.1,2.2,+/-0.1,42,+/-0.1,1.4,+/-0.1,0.1,+/-0.1,1.1,+/-0.1,0,+/-0.1,0.6,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,1,Number,"1,493,700","+/-4,260","159,805","+/-1,601","1,168,010","+/-3,677","79,925","+/-1,202","9,530",+/-554,"44,050","+/-1,012",895,+/-205,"31,480","+/-1,181",0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,2,Percent,100,+/-0.1,10.7,+/-0.1,78.2,+/-0.1,5.4,+/-0.1,0.6,+/-0.1,2.9,+/-0.1,0.1,+/-0.1,2.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,3,Number,"790,950","+/-2,969","91,270",+/-969,"613,795","+/-2,376","41,380","+/-1,005","4,740",+/-357,"22,885",+/-796,425,+/-139,"16,460",+/-793,0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,4,Percent,53,+/-0.1,6.1,+/-0.1,41.1,+/-0.1,2.8,+/-0.1,0.3,+/-0.1,1.5,+/-0.1,0,+/-0.1,1.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,5,Number,"702,750","+/-2,610","68,535","+/-1,172","554,220","+/-2,420","38,545",+/-802,"4,790",+/-419,"21,170",+/-604,470,+/-132,"15,020",+/-732,0,"Total, all occupations"
EEOALL1R,04000US20,Kansas,6,Percent,47,+/-0.1,4.6,+/-0.1,37.1,+/-0.1,2.6,+/-0.1,0.3,+/-0.1,1.4,+/-0.1,0,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,1,Number,"2,087,800","+/-5,268","72,510","+/-1,139","1,778,550","+/-4,706","170,250","+/-1,733","3,630",+/-428,"32,035",+/-899,"1,115",+/-210,"29,705","+/-1,443",0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,2,Percent,100,+/-0.1,3.5,+/-0.1,85.2,+/-0.1,8.2,+/-0.1,0.2,+/-0.1,1.5,+/-0.1,0.1,+/-0.1,1.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,3,Number,"1,093,860","+/-3,410","45,015",+/-827,"933,025","+/-3,128","83,080","+/-1,234","1,690",+/-323,"16,575",+/-528,540,+/-146,"13,940",+/-914,0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,4,Percent,52.4,+/-0.1,2.2,+/-0.1,44.7,+/-0.1,4,+/-0.1,0.1,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,5,Number,"993,940","+/-3,796","27,495",+/-741,"845,525","+/-3,433","87,175","+/-1,271","1,940",+/-280,"15,460",+/-621,580,+/-171,"15,765",+/-936,0,"Total, all occupations"
EEOALL1R,04000US21,Kentucky,6,Percent,47.6,+/-0.1,1.3,+/-0.1,40.5,+/-0.1,4.2,+/-0.1,0.1,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,1,Number,"2,180,965","+/-7,041","111,595","+/-1,465","1,337,345","+/-5,171","649,925","+/-4,323","10,730",+/-743,"40,850",+/-955,470,+/-134,"30,050","+/-1,696",0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,2,Percent,100,+/-0.1,5.1,+/-0.1,61.3,+/-0.2,29.8,+/-0.2,0.5,+/-0.1,1.9,+/-0.1,0,+/-0.1,1.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,3,Number,"1,127,300","+/-4,155","69,260",+/-904,"723,015","+/-3,436","291,995","+/-2,540","5,775",+/-600,"22,105",+/-767,160,+/-58,"14,990","+/-1,002",0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,4,Percent,51.7,+/-0.1,3.2,+/-0.1,33.2,+/-0.1,13.4,+/-0.1,0.3,+/-0.1,1,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,5,Number,"1,053,665","+/-5,156","42,335","+/-1,088","614,330","+/-3,918","357,930","+/-3,104","4,955",+/-365,"18,745",+/-664,310,+/-108,"15,060","+/-1,127",0,"Total, all occupations"
EEOALL1R,04000US22,Louisiana,6,Percent,48.3,+/-0.1,1.9,+/-0.1,28.2,+/-0.1,16.4,+/-0.1,0.2,+/-0.1,0.9,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,1,Number,"697,390","+/-2,806","10,615",+/-379,"656,635","+/-2,691","7,965",+/-706,"3,280",+/-284,"8,180",+/-421,140,+/-63,"10,575",+/-565,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,2,Percent,100,+/-0.1,1.5,+/-0.1,94.2,+/-0.1,1.1,+/-0.1,0.5,+/-0.1,1.2,+/-0.1,0,+/-0.1,1.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,3,Number,"356,955","+/-1,875","5,415",+/-324,"335,975","+/-1,722","4,830",+/-423,"1,420",+/-163,"3,580",+/-310,70,+/-40,"5,665",+/-459,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,4,Percent,51.2,+/-0.2,0.8,+/-0.1,48.2,+/-0.2,0.7,+/-0.1,0.2,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,5,Number,"340,435","+/-2,063","5,195",+/-307,"320,660","+/-2,025","3,135",+/-427,"1,865",+/-207,"4,600",+/-277,70,+/-49,"4,910",+/-350,0,"Total, all occupations"
EEOALL1R,04000US23,Maine,6,Percent,48.8,+/-0.2,0.7,+/-0.1,46,+/-0.2,0.4,+/-0.1,0.3,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,1,Number,"3,232,420","+/-6,258","310,725","+/-1,650","1,686,425","+/-5,041","947,770","+/-3,868","5,560",+/-496,"208,190","+/-1,577","1,225",+/-189,"72,525","+/-2,124",0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,2,Percent,100,+/-0.1,9.6,+/-0.1,52.2,+/-0.1,29.3,+/-0.1,0.2,+/-0.1,6.4,+/-0.1,0,+/-0.1,2.2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,3,Number,"1,642,145","+/-3,920","179,780",+/-915,"880,200","+/-2,974","436,545","+/-2,611","2,810",+/-375,"107,505","+/-1,073",565,+/-155,"34,740","+/-1,456",0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,4,Percent,50.8,+/-0.1,5.6,+/-0.1,27.2,+/-0.1,13.5,+/-0.1,0.1,+/-0.1,3.3,+/-0.1,0,+/-0.1,1.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,5,Number,"1,590,275","+/-4,598","130,945","+/-1,405","806,225","+/-3,406","511,230","+/-2,905","2,750",+/-347,"100,685","+/-1,120",660,+/-137,"37,780","+/-1,386",0,"Total, all occupations"
EEOALL1R,04000US24,Maryland,6,Percent,49.2,+/-0.1,4.1,+/-0.1,24.9,+/-0.1,15.8,+/-0.1,0.1,+/-0.1,3.1,+/-0.1,0,+/-0.1,1.2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,1,Number,"3,773,720","+/-7,791","385,060","+/-2,658","2,801,165","+/-6,849","253,595","+/-2,574","4,405",+/-407,"241,450","+/-2,373",980,+/-201,"87,070","+/-2,704",0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,2,Percent,100,+/-0.1,10.2,+/-0.1,74.2,+/-0.1,6.7,+/-0.1,0.1,+/-0.1,6.4,+/-0.1,0,+/-0.1,2.3,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,3,Number,"1,921,210","+/-4,821","199,605","+/-1,773","1,427,975","+/-3,842","124,010","+/-1,685","2,240",+/-301,"124,035","+/-1,306",540,+/-156,"42,800","+/-1,620",0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,4,Percent,50.9,+/-0.1,5.3,+/-0.1,37.8,+/-0.1,3.3,+/-0.1,0.1,+/-0.1,3.3,+/-0.1,0,+/-0.1,1.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,5,Number,"1,852,515","+/-4,974","185,455","+/-1,921","1,373,190","+/-4,209","129,585","+/-1,787","2,165",+/-288,"117,410","+/-1,731",440,+/-151,"44,265","+/-1,688",0,"Total, all occupations"
EEOALL1R,04000US25,Massachusetts,6,Percent,49.1,+/-0.1,4.9,+/-0.1,36.4,+/-0.1,3.4,+/-0.1,0.1,+/-0.1,3.1,+/-0.1,0,+/-0.1,1.2,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,1,Number,"4,919,495","+/-8,079","228,535","+/-1,601","3,799,670","+/-7,211","617,285","+/-3,720","20,885",+/-819,"158,300","+/-1,488","1,240",+/-237,"93,580","+/-2,259",0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,2,Percent,100,+/-0.1,4.6,+/-0.1,77.2,+/-0.1,12.5,+/-0.1,0.4,+/-0.1,3.2,+/-0.1,0,+/-0.1,1.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,3,Number,"2,575,110","+/-5,662","127,220","+/-1,055","2,019,945","+/-4,459","280,660","+/-2,252","10,805",+/-587,"88,855","+/-1,142",510,+/-131,"47,120","+/-1,326",0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,4,Percent,52.3,+/-0.1,2.6,+/-0.1,41.1,+/-0.1,5.7,+/-0.1,0.2,+/-0.1,1.8,+/-0.1,0,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,5,Number,"2,344,385","+/-5,286","101,315","+/-1,247","1,779,730","+/-4,735","336,625","+/-2,532","10,080",+/-491,"69,445","+/-1,140",725,+/-178,"46,460","+/-1,348",0,"Total, all occupations"
EEOALL1R,04000US26,Michigan,6,Percent,47.7,+/-0.1,2.1,+/-0.1,36.2,+/-0.1,6.8,+/-0.1,0.2,+/-0.1,1.4,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,1,Number,"3,050,675","+/-5,353","144,770","+/-1,275","2,523,785","+/-4,719","163,775","+/-1,779","22,105",+/-608,"139,460","+/-1,423",905,+/-189,"55,875","+/-1,833",0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,2,Percent,100,+/-0.1,4.7,+/-0.1,82.7,+/-0.1,5.4,+/-0.1,0.7,+/-0.1,4.6,+/-0.1,0,+/-0.1,1.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,3,Number,"1,589,160","+/-3,501","82,085",+/-737,"1,311,420","+/-3,118","84,705","+/-1,277","10,820",+/-441,"71,940",+/-938,580,+/-158,"27,605","+/-1,194",0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,4,Percent,52.1,+/-0.1,2.7,+/-0.1,43,+/-0.1,2.8,+/-0.1,0.4,+/-0.1,2.4,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,5,Number,"1,461,515","+/-3,322","62,685","+/-1,056","1,212,365","+/-2,987","79,070","+/-1,213","11,285",+/-415,"67,520","+/-1,086",325,+/-101,"28,270","+/-1,104",0,"Total, all occupations"
EEOALL1R,04000US27,Minnesota,6,Percent,47.9,+/-0.1,2.1,+/-0.1,39.7,+/-0.1,2.6,+/-0.1,0.4,+/-0.1,2.2,+/-0.1,0,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,1,Number,"1,338,575","+/-6,391","37,350","+/-1,002","784,845","+/-4,371","485,840","+/-3,673","5,560",+/-467,"13,775",+/-636,345,+/-131,"10,865",+/-845,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,2,Percent,100,+/-0.1,2.8,+/-0.1,58.6,+/-0.2,36.3,+/-0.2,0.4,+/-0.1,1,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,3,Number,"684,390","+/-3,587","23,645",+/-721,"424,565","+/-2,577","220,305","+/-2,326","2,570",+/-270,"7,205",+/-519,75,+/-59,"6,020",+/-674,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,4,Percent,51.1,+/-0.2,1.8,+/-0.1,31.7,+/-0.2,16.5,+/-0.2,0.2,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,5,Number,"654,180","+/-3,980","13,700",+/-630,"360,280","+/-2,804","265,530","+/-2,314","2,990",+/-326,"6,570",+/-412,265,+/-114,"4,845",+/-475,0,"Total, all occupations"
EEOALL1R,04000US28,Mississippi,6,Percent,48.9,+/-0.2,1,+/-0.1,26.9,+/-0.2,19.8,+/-0.1,0.2,+/-0.1,0.5,+/-0.1,0,+/-0.1,0.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,1,Number,"3,044,050","+/-6,820","114,950","+/-1,247","2,466,535","+/-6,011","337,475","+/-2,869","11,635",+/-652,"59,300","+/-1,131","3,005",+/-423,"51,145","+/-1,788",0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,2,Percent,100,+/-0.1,3.8,+/-0.1,81,+/-0.1,11.1,+/-0.1,0.4,+/-0.1,1.9,+/-0.1,0.1,+/-0.1,1.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,3,Number,"1,575,105","+/-4,186","65,640",+/-989,"1,291,330","+/-3,385","153,585","+/-1,733","6,305",+/-472,"30,715",+/-644,"1,525",+/-252,"26,000","+/-1,312",0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,4,Percent,51.7,+/-0.1,2.2,+/-0.1,42.4,+/-0.1,5,+/-0.1,0.2,+/-0.1,1,+/-0.1,0.1,+/-0.1,0.9,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,5,Number,"1,468,950","+/-4,656","49,310",+/-922,"1,175,205","+/-4,098","183,890","+/-1,938","5,335",+/-448,"28,585",+/-910,"1,480",+/-263,"25,145","+/-1,129",0,"Total, all occupations"
EEOALL1R,04000US29,Missouri,6,Percent,48.3,+/-0.1,1.6,+/-0.1,38.6,+/-0.1,6,+/-0.1,0.2,+/-0.1,0.9,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,1,Number,"529,680","+/-2,865","18,010",+/-425,"469,260","+/-2,523","2,355",+/-266,"24,260",+/-719,"4,490",+/-380,400,+/-153,"10,900",+/-680,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,2,Percent,100,+/-0.1,3.4,+/-0.1,88.6,+/-0.2,0.4,+/-0.1,4.6,+/-0.1,0.8,+/-0.1,0.1,+/-0.1,2.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,3,Number,"280,975","+/-1,709","9,465",+/-367,"250,095","+/-1,463","1,760",+/-260,"12,430",+/-502,"1,730",+/-272,245,+/-135,"5,250",+/-519,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,4,Percent,53,+/-0.2,1.8,+/-0.1,47.2,+/-0.2,0.3,+/-0.1,2.3,+/-0.1,0.3,+/-0.1,0,+/-0.1,1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,5,Number,"248,710","+/-1,887","8,545",+/-374,"219,165","+/-1,710",595,+/-125,"11,835",+/-466,"2,760",+/-263,160,+/-77,"5,650",+/-432,0,"Total, all occupations"
EEOALL1R,04000US30,Montana,6,Percent,47,+/-0.2,1.6,+/-0.1,41.4,+/-0.2,0.1,+/-0.1,2.2,+/-0.1,0.5,+/-0.1,0,+/-0.1,1.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,1,Number,"1,030,380","+/-3,113","96,785","+/-1,187","843,490","+/-2,656","44,375","+/-1,002","6,130",+/-398,"22,775",+/-795,570,+/-130,"16,255",+/-920,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,2,Percent,100,+/-0.1,9.4,+/-0.1,81.9,+/-0.1,4.3,+/-0.1,0.6,+/-0.1,2.2,+/-0.1,0.1,+/-0.1,1.6,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,3,Number,"543,715","+/-1,908","55,610",+/-781,"441,490","+/-1,572","22,640",+/-668,"3,040",+/-282,"12,225",+/-503,305,+/-88,"8,405",+/-678,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,4,Percent,52.8,+/-0.1,5.4,+/-0.1,42.8,+/-0.1,2.2,+/-0.1,0.3,+/-0.1,1.2,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,5,Number,"486,665","+/-2,233","41,175",+/-857,"402,000","+/-1,793","21,735",+/-655,"3,095",+/-242,"10,555",+/-542,265,+/-95,"7,845",+/-534,0,"Total, all occupations"
EEOALL1R,04000US31,Nebraska,6,Percent,47.2,+/-0.1,4,+/-0.1,39,+/-0.1,2.1,+/-0.1,0.3,+/-0.1,1,+/-0.1,0,+/-0.1,0.8,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,1,Number,"1,472,350","+/-5,093","416,575","+/-2,620","743,570","+/-3,158","119,210","+/-1,682","12,630",+/-583,"126,240","+/-1,690","9,070",+/-388,"45,050","+/-1,858",0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,2,Percent,100,+/-0.1,28.3,+/-0.1,50.5,+/-0.2,8.1,+/-0.1,0.9,+/-0.1,8.6,+/-0.1,0.6,+/-0.1,3.1,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,3,Number,"790,755","+/-3,033","233,315","+/-1,540","404,880","+/-2,208","59,025","+/-1,057","6,365",+/-358,"59,770","+/-1,054","4,685",+/-267,"22,720","+/-1,233",0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,4,Percent,53.7,+/-0.2,15.8,+/-0.1,27.5,+/-0.1,4,+/-0.1,0.4,+/-0.1,4.1,+/-0.1,0.3,+/-0.1,1.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,5,Number,"681,595","+/-3,714","183,265","+/-1,658","338,690","+/-2,158","60,185","+/-1,291","6,265",+/-408,"66,470","+/-1,288","4,385",+/-255,"22,330","+/-1,273",0,"Total, all occupations"
EEOALL1R,04000US32,Nevada,6,Percent,46.3,+/-0.2,12.4,+/-0.1,23,+/-0.1,4.1,+/-0.1,0.4,+/-0.1,4.5,+/-0.1,0.3,+/-0.1,1.5,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,1,Number,"754,410","+/-2,735","24,505",+/-555,"689,605","+/-2,624","9,070",+/-540,"1,035",+/-226,"19,810",+/-722,170,+/-69,"10,215",+/-731,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,2,Percent,100,+/-0.1,3.2,+/-0.1,91.4,+/-0.1,1.2,+/-0.1,0.1,+/-0.1,2.6,+/-0.1,0,+/-0.1,1.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,3,Number,"394,270","+/-1,723","13,545",+/-422,"359,100","+/-1,558","5,365",+/-413,490,+/-125,"10,070",+/-470,80,+/-61,"5,615",+/-530,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,4,Percent,52.3,+/-0.2,1.8,+/-0.1,47.6,+/-0.2,0.7,+/-0.1,0.1,+/-0.1,1.3,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,5,Number,"360,135","+/-1,974","10,955",+/-403,"330,505","+/-1,902","3,710",+/-339,545,+/-169,"9,740",+/-527,90,+/-49,"4,595",+/-435,0,"Total, all occupations"
EEOALL1R,04000US33,New Hampshire,6,Percent,47.7,+/-0.2,1.5,+/-0.1,43.8,+/-0.2,0.5,+/-0.1,0.1,+/-0.1,1.3,+/-0.1,0,+/-0.1,0.6,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US34,New Jersey,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
